Id;song;band;album;year
1;Black Dog;Led Zeppelin;Zeppelin IV;1971
2;Rock and Roll;Led Zeppelin;Zeppelin IV;1971
3;Paranoid;Black Sabbath;Paranoid;1970
4;Ballroom Blitz;The Sweet;Desolation Boulevard;1973
5;Hey Stoopid;Alice Cooper;Hey Stoopid;1991
6;School’s Out;Alice Cooper;School’s Out;1972
7;Cum on Feel the Noize;Slade;Cum on Feel the Noise;1973
8;Mama Weer All Crazy Now;Slade;Slayed;1972
9;Ace of Spades;Motörhead;Ace of Spades;1980
10;Born to Raise Hell;Motörhead;Born to Raise Hell;1994